item_stable_id,parent_stable_id,local_title_hash
209,210,3659888146369772646
208,210,-4626577355884615266
207,210,2564741765321385298
206,208,-3548870981148260148
205,208,-412611428192853809
204,208,-5892688849694393053
203,208,-8418127194023969835
202,208,-5924762511896943503
211,209,-7051230951060621073
212,208,-4928839006799741316
213,209,-6904206562925355259
418,209,6654540100448195666
417,418,6654540100448195666
416,417,-1610896638395993888
415,417,568756744946477138
414,417,496702077742687926
413,417,584880236536963832
412,417,8569701730386653178
428,415,6210225566759069549
427,415,5572848142782527557
426,415,-2395843023421734820
425,417,2734635729639479957
424,415,-2801575476570926156
423,415,6297964727978528934
422,415,-4245674298449883471
421,415,-4990945534867292648
420,416,-810899570888494845
419,415,-727582096674779348
449,428,-1145992465106047775
448,428,1116129818908600940
447,428,3922799545896316039
446,428,1328639389221521585
445,428,7149679575894154930
444,428,-3947582684248296089
443,428,5513064157348120890
442,428,-8015495760320002337
441,428,-2033401817928616676
440,428,1665748967257678008
439,427,-1002978765664263825
438,428,-2829906428922166115
437,427,-526975168736432471
436,427,6126636741372264014
435,427,5595429449855809127
434,427,-4037667762179662084
433,428,-7314086732477602738
432,428,3645355960749087161
431,427,-2564461386353110187
430,428,4806164758755461267
429,428,766769431226964819
529,427,-201735476717636631
528,427,8265786495737512440
527,428,-2383748338956574420
526,428,-4019107835345240
525,427,-5639284653246086151
524,427,586462396008116719
523,427,-542920551657401253
522,427,4489992046234983831
521,427,2901752779795008668
520,427,-6886628156285762484
519,427,7896659551999891988
518,427,8618996797426469053
517,427,-2737749775818064696
516,427,4228921911338775496
515,427,5148107408478602279
514,427,-9181386997521041645
513,427,-3041568858547663433
512,427,-1126825302590313839
511,427,1955305374112487979
510,427,-6706223000404194874
509,427,6123082620638891316
508,427,5725074833370404178
507,419,4716108169214465346
506,419,6971744286527088210
505,419,-63422290012851874
504,419,-5343783912034775019
503,419,8009368579678581445
502,419,3899740198885946370
501,519,-5328809202790764551
500,520,-9213163262014914880
499,516,-7794822398453523188
498,518,8879395055975497903
497,520,-4733785814157128226
496,520,-5664598924583872936
495,520,1877520563443555738
494,520,-3467068985208815266
493,520,2654466418926059288
492,520,88984686813407162
491,520,5049440447893546818
490,520,-3361567022101563077
489,520,-3794205244247261925
488,520,1699363076570942720
487,520,-7036958726091791825
486,519,2581853013199671167
485,516,7433813590678693310
484,516,-7140200849246709198
483,516,-7122387772931587567
482,516,-7869052476079061131
481,516,-441158588063061003
480,516,-1681828521279379526
479,517,8110271013860102635
478,518,1028509477565971319
477,519,-3817511035647668876
476,518,-3731749208532774641
475,518,-2696169669525549895
474,518,4646094424531769961
473,518,2164950097298051928
472,518,-5968891462665914869
471,520,-277679771178947835
470,520,3793460631044067584
469,520,-8475790779222260701
468,520,-7681633446722423186
467,520,-6021414945955464855
466,520,3542116280546931956
465,520,8415959985624441114
464,519,-6151957792872174266
463,519,-7554069354725817051
462,520,4572376563443880336
461,520,-763882598893919783
460,520,956381555087198555
459,520,-6874812888099997797
458,520,-8712500048015884971
457,516,4575166375546189425
456,507,1384924292264664346
455,518,3754651039199496351
454,520,1889448422169939942
453,520,-7833472854109620514
452,520,5843456451383774257
451,520,-1145992465106047775
450,516,-2637395701456017084
615,520,-8273023663119390427
614,520,-6916340684933115798
613,520,4809177080350298763
612,520,8965036351990152157
611,518,-1549862924565992185
610,515,1538477818462600301
609,514,905039434476166332
608,516,-7532340924423739991
607,515,3245756817958508716
606,514,367415356746501521
605,520,-1708151325562183358
604,520,7332874186925754672
603,520,-386252016468457985
602,520,-9182589365236867459
601,520,-1127541833073647604
600,520,-6402720284013234260
599,520,-6267229390971126972
598,520,7067691744654313804
597,520,5822048641639957513
596,517,1752284244170548807
595,517,-2692502888567779539
594,517,-8497881490485712028
593,518,-2709286765633639751
592,517,-1239918281929763718
591,513,-2745379809122107324
590,514,5746663153048247583
589,514,6401245276849890300
588,513,-2910022667719004856
587,419,6975554832631654801
586,452,3198081277921018005
585,419,7870775942960150947
584,451,-6038834195711517537
583,507,1575014921181161643
582,451,-4668411988540687208
581,453,-6540617805832213133
580,454,7058690887134878530
579,452,3224836089341183592
578,452,1462506922113216634
577,452,6085008923714499558
576,452,2111102511221856685
575,452,-7204944151131801336
574,452,2846349122759936634
573,451,571830793708355320
572,451,1712215454657286061
571,451,1514479658113464442
570,451,-8117892986584887993
569,451,-5253241842182761310
568,452,912351721272889258
567,451,4367048967045373805
566,451,8690992251148784905
565,451,-7256702678788974408
564,451,5870575387577857121
563,451,2722976228553767427
562,451,-3536076238547613484
561,451,80086984563898688
560,451,6388590986589160500
559,451,-5060280474908377721
558,451,-8233394087264993799
557,452,8247571493612828070
556,451,-4175205530964143459
555,454,586263790193169127
554,454,-6510150351833656583
553,453,-3971848686231961117
552,453,-7478265331038328474
551,454,-6300249579743404695
550,453,-4505836374618426728
549,453,377823842197161864
548,454,9146242921434133259
547,451,5197783837478923943
546,454,7362223784531097702
545,451,3566777831265672916
544,452,-718725947211335870
543,452,1891551874724181608
542,452,376622876084380826
541,451,1770005205480731606
540,451,4470995126073129078
539,451,7851228160586101571
538,451,1832435069923038154
537,451,-8589236179197872516
536,451,-5186144712080151778
535,419,4855248699076225643
534,454,-7261539606063707742
533,454,3717076068641265844
532,454,-2534843121756701811
531,454,-432940742536463827
530,454,7059915138823161200
665,456,-1344556564565786441
664,456,2243403789643853905
663,456,8528031481382098593
662,456,6923996819931423790
661,456,5306333958066457532
660,456,3507100198209266892
659,456,2717778096752557427
658,456,3765846077359555627
657,456,3391600372891716824
656,456,1736803213271955950
655,456,5135412455360074193
654,456,3159441672214479067
653,456,1656597384313737474
652,456,-1111173974482700214
651,456,-2504727369647050953
650,456,-2425718072306703035
649,456,-7678963278676443254
648,456,-4033080284564660595
647,456,8976372143310001927
646,456,-3200080913378867420
645,456,148902145736590445
644,456,2245112369519961422
643,456,4514195879377319712
642,456,6814391311919716844
641,456,-5049476908835692776
640,456,634046577308114969
639,456,448529053188706393
638,456,-8763311570564162730
