stable_id,id,proto,trashed,starred,is_owner,mime_type,is_folder,modified_date,shared_with_me_date,viewed_by_me_date,file_size,is_tombstone,local_title,subscribed,team_drive_stable_id,local_title_tokenized
101,0AJQrr9E0fhVOUk9PVA,0a1330414a5172723945306668564f556b395056411a084d7920447269766522226170706c69636174696f6e2f766e642e676f6f676c652d617070732e666f6c6465722800380050eafee4cfac3258eafee4cfac32b00100d00100f80101e00200f20200ba03120a0e666f6c6465725f717565726965641001ba03240a1b6c6f63616c2d636f6e74656e742d6d6f6469666965642d646174651898ddaec1ae32ba03170a0b6c6f63616c2d7469746c6522084d79204472697665ba03160a0d6d6f6469666965642d64617465189fae8ed0ac32ba03130a0f76657273696f6e2d636f756e7465721806ca030f223137323939363534303831303622f80301a804eafee4cfac32d80401a2053a08011001180020012801300138014001480150016001a00101e80101f00101f80101c00201c80201d00200d80200e80201f00201f80201b00300c00565f00500e007eafee4cfac32,0,0,1,application/vnd.google-apps.folder,1,1729965408106,0,0,0,0,My Drive,1,,my drive
202,1-EqQvL2ncUAWhRtmjWbFaaz79VD5u7kJ,0a21312d457151764c326e635541576852746d6a57624661617a373956443575376b4a1221312d2d7479384f33744e4532684c704a66576b39566138753363374c42715552551a11476f6f676c6520536c696465732e6c6e6b22196170706c69636174696f6e2f782d6d732d73686f7274637574280038005082dd90d0ac3258a199f6c0ae326883bdfac0ae3270a010b00100d00100f80101e00200ea02036c6e6bf202008203203934313961323464636438643132666431663761653035303332396463626164ba03200a0b6c6f63616c2d7469746c652211476f6f676c6520536c696465732e6c6e6bba03130a0f76657273696f6e2d636f756e7465721802ca030f223137333034373131303336343922f80301a804f4b891d0ac32d80402f204333042355172723945306668564f62586f72536e6c335a3256724c306855534449324e6a4e514d6a6b7659573136526c6c4e5051a2053a08001001180120012801300138004001480150016001a00101e80101f00101f80101c00200c80201d00200d80200e80201f00201f80200b00300c005ca01c805d001f00500e00783bdfac0ae32d2080a12080a00100018003000,0,0,1,application/x-ms-shortcut,0,1730471103649,0,1730471173763,2080,0,Google Slides.lnk,1,,google slides lnk
203,1-CvX7A2_N6a6hcAvSQgoD_TxlylM6Omn,0a21312d4376583741325f4e366136686341765351676f445f54786c796c4d364f6d6e1221312d2d7479384f33744e4532684c704a66576b39566138753363374c42715552551a124d6963726f736f667420456467652e6c6e6b22196170706c69636174696f6e2f782d6d732d73686f7274637574280038005097dd90d0ac3258cdbebdcfac326897dd90d0ac3270ac12b00100d00100f80101e00200ea02036c6e6bf202008203203830646438313738646539663939323466323565626664666562616634613265ba03210a0b6c6f63616c2d7469746c6522124d6963726f736f667420456467652e6c6e6bba03130a0f76657273696f6e2d636f756e7465721801ca030f223137323939363437363039303922f80301a804eeb891d0ac32d80401f204333042355172723945306668564f54484a564d3045305a323531616e647a52544a7559324e585446513365576434526a426a5051a2053a08001001180120012801300138004001480150016001a00101e80101f00101f80101c00200c80201d00200d80200e80201f00201f80200b00300c005cb01c805d001f00500e00797dd90d0ac32aa08086f726967696e616cd2080a12080a00100018003000,0,0,1,application/x-ms-shortcut,0,1729964760909,0,1729966124695,2348,0,Microsoft Edge.lnk,1,,microsoft edge lnk
204,1-JtN0pfXVdEikbGyLK6PZgPX8cKgIhUx,0a21312d4a744e30706658566445696b6247794c4b36505a67505838634b67496855781221312d2d7479384f33744e4532684c704a66576b39566138753363374c42715552551a0f476f6f676c6520446f63732e6c6e6b22196170706c69636174696f6e2f782d6d732d73686f72746375742800380050cadc90d0ac32588c97f6c0ae3268c7cafac0ae32709410b00100d00100f80101e00200ea02036c6e6bf202008203203430386631626139646330626262663765643539653038633366333631396433ba031e0a0b6c6f63616c2d7469746c65220f476f6f676c6520446f63732e6c6e6bba03130a0f76657273696f6e2d636f756e7465721802ca030f223137333034373131303333373222f80301a804e7b891d0ac32d80402f204333042355172723945306668564f4b334a694e58466b4d556435575539615a6a4133537a6c6a61307846556c4e6a63566c725051a2053a08001001180120012801300138004001480150016001a00101e80101f00101f80101c00200c80201d00200d80200e80201f00201f80200b00300c005cc01c805d001f00500e007c7cafac0ae32d2080a12080a00100018003000,0,0,1,application/x-ms-shortcut,0,1730471103372,0,1730471175495,2068,0,Google Docs.lnk,1,,google docs lnk
205,1-G_AMdbFVKvq1Ac8YF5wwLvzymD0Pdot,0a21312d475f414d646246564b76713141633859463577774c767a796d443050646f741221312d2d7479384f33744e4532684c704a66576b39566138753363374c42715552551a10476f6f676c652044726976652e6c6e6b22196170706c69636174696f6e2f782d6d732d73686f72746375742800380050e4dc90d0ac3258cb96f6c0ae3268a09ffac0ae3270fc0fb00100d00100f80101e00200ea02036c6e6bf202008203203734646131636265303562623661663031353135343931373232616665323638ba031f0a0b6c6f63616c2d7469746c652210476f6f676c652044726976652e6c6e6bba03130a0f76657273696f6e2d636f756e7465721802ca030f223137333034373131303333303722f80301a804c7b891d0ac32d80402f204333042355172723945306668564f4f545a4d54554578536b39554c3145345a3052734d5846335155463451556471626c46765051a2053a08001001180120012801300138004001480150016001a00101e80101f00101f80101c00200c80201d00200d80200e80201f00201f80200b00300c005cd01c805d001f00500e007a09ffac0ae32d2080a12080a00100018003000,0,0,1,application/x-ms-shortcut,0,1730471103307,0,1730471169952,2044,0,Google Drive.lnk,1,,google drive lnk
206,1-BYYnx_QAt85kDxJakKCnq86jsi5sQUC,0a21312d4259596e785f51417438356b44784a616b4b436e7138366a736935735155431221312d2d7479384f33744e4532684c704a66576b39566138753363374c42715552551a11476f6f676c65205368656574732e6c6e6b22196170706c69636174696f6e2f782d6d732d73686f72746375742800380050bcdd90d0ac3258ba97f6c0ae32688cd7fac0ae3270a010b00100d00100f80101e00200ea02036c6e6bf202008203206465303966343265313564626235386363333132376266303665666138633136ba03200a0b6c6f63616c2d7469746c652211476f6f676c65205368656574732e6c6e6bba03130a0f76657273696f6e2d636f756e7465721802ca030f223137333034373131303334313822f80301a804a8ae91d0ac32d80402f204333042355172723945306668564f516d51785933424f52323955546a6c75566a5658536c4e5a576c5a4f5933557a624778335051a2053a08001001180120012801300138004001480150016001a00101e80101f00101f80101c00200c80201d00200d80200e80201f00201f80200b00300c005ce01c805d001f00500e0078cd7fac0ae32d2080a12080a00100018003000,0,0,1,application/x-ms-shortcut,0,1730471103418,0,1730471177100,2080,0,Google Sheets.lnk,1,,google sheets lnk
207,1-95J97BRpw5s2D2mRH_dSySI79fFrKOT,0a21312d39354a39374252707735733244326d52485f645379534937396646724b4f5412213157776d442d4267666646597151476d53444175646c496435395f4973635f434a1a09446f63756d656e747322226170706c69636174696f6e2f766e642e676f6f676c652d617070732e666f6c6465722800380050acc390d0ac3258acc390d0ac3268acc390d0ac32b00100d00100f80101e00200f2020092031361726269747261727953796e63466f6c646572ba03180a0b6c6f63616c2d7469746c652209446f63756d656e7473ba03130a0f76657273696f6e2d636f756e7465721801ca030f223137323939363631323133383822f80301a804928291d0ac32d80401a2053a08011001180020012801300138014001480150016000a00101e80101f00101f80101c00200c80201d00200d80200e80201f00201f80201b00300c005cf01c805d201f00500e007acc390d0ac32d208021200,0,0,1,application/vnd.google-apps.folder,1,1729966121388,0,1729966121388,0,0,Documents,1,,documents
208,1--ty8O3tNE2hLpJfWk9Va8u3c7LBqURU,0a21312d2d7479384f33744e4532684c704a66576b39566138753363374c427155525512213157776d442d4267666646597151476d53444175646c496435395f4973635f434a1a074465736b746f7022226170706c69636174696f6e2f766e642e676f6f676c652d617070732e666f6c6465722800380050d9b290d0ac3258d9b290d0ac3268d9b290d0ac32b00100d00100f80101e00200f2020092031361726269747261727953796e63466f6c646572ba03160a0b6c6f63616c2d7469746c6522074465736b746f70ba03130a0f76657273696f6e2d636f756e7465721801ca030f223137323939363631313932353722f80301a80495da90d0ac32d80401a2053a08011001180020012801300138014001480150016000a00101e80101f00101f80101c00200c80201d00200d80200e80201f00201f80201b00300c005d001c805d201f00500e007d9b290d0ac32d208021200,0,0,1,application/vnd.google-apps.folder,1,1729966119257,0,1729966119257,0,0,Desktop,1,,desktop
209,1-2RHHSDLR4UhwzI-ThYC1JgrvyF5oq1Q,0a21312d3252484853444c52345568777a492d54685943314a6772767946356f71315112213157776d442d4267666646597151476d53444175646c496435395f4973635f434a1a09446f776e6c6f61647322226170706c69636174696f6e2f766e642e676f6f676c652d617070732e666f6c6465722800380050b9ae90d0ac3258b9ae90d0ac3268b9ae90d0ac32b00100d00100f80101e00200f2020092031361726269747261727953796e63466f6c646572ba03180a0b6c6f63616c2d7469746c652209446f776e6c6f616473ba03130a0f76657273696f6e2d636f756e7465721801ca030f223137323939363631313837313322f80301a80482da90d0ac32d80401a2053a08011001180020012801300138014001480150016000a00101e80101f00101f80101c00200c80201d00200d80200e80201f00201f80201b00300c005d101c805d201f00500e007b9ae90d0ac32d208021200,0,0,1,application/vnd.google-apps.folder,1,1729966118713,0,1729966118713,0,0,Downloads,1,,downloads
210,1WwmD-BgffFYqQGmSDAudlId59_Isc_CJ,0a213157776d442d4267666646597151476d53444175646c496435395f4973635f434a1a054d7920504322226170706c69636174696f6e2f766e642e676f6f676c652d617070732e666f6c6465722800380050acae90d0ac3258acae90d0ac3268acae90d0ac32b00100d00100f80101e00200f2020092030b6d616368696e65526f6f74ba03140a0b6c6f63616c2d7469746c6522054d79205043ba03130a0f76657273696f6e2d636f756e7465721801ca030f223137323939363631313837303022f80301a804d9d490d0ac32d80401a2053a08011001180020012801300138014000480150006001a00101e80101f00101f80101c00200c80201d00200d80200e80201f00201f80201b00300c005d201f00500e007acae90d0ac32d208021200,0,0,1,application/vnd.google-apps.folder,1,1729966118700,0,1729966118700,0,0,My PC,1,,my pc
