Key Path,Value Name,Value Data,Value Type
\SOFTWARE\Microsoft\OneDrive\Accounts\Personal,ResetPreserveSelectiveSync,1,RegDWord
\SOFTWARE\Microsoft\OneDrive\Accounts\Personal,ECSConfigurationETag,"""1yNuzrKQlISZpnntH0R9pZVQ0I3itmp0faOZzr6oNas=""",RegSZ
\SOFTWARE\Microsoft\OneDrive\Accounts\Personal,ECSConfigurationExpires,1731633050,RegQWord
\SOFTWARE\Microsoft\OneDrive\Accounts\Personal,ECSConfigurationMaxAge,43200,RegDWord
\SOFTWARE\Microsoft\OneDrive\Accounts\Personal,ECSConfigurationLastSuccess,480997,RegDWord
\SOFTWARE\Microsoft\OneDrive\Accounts\Personal,WebView2InstallCheckedTimeStamp,1731512015,RegQWord
\SOFTWARE\Microsoft\OneDrive\Accounts\Personal,GetOnlineStatus,1,RegSZ
\SOFTWARE\Microsoft\OneDrive\Capabilities\URLAssociations,Explorer.CameraRoll.Import,OneDrive.CameraRoll.Import,RegSZ
\SOFTWARE\Microsoft\OneDrive\QoS,UMID,079A8F44-6BC1-44EB-B1BF-2824F24DB0DF,RegSZ
\SOFTWARE\Microsoft\OneDrive\QoS,UUID,8A7503FF-57BB-45E8-B85F-4EBC8ED9EB87,RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\App Paths\OneDriveFileLauncher.exe,SkipCloudDownload,1,RegDWord
\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\BannerStore\ProviderId\OneDriveDesktop,ContentId,874859c029cd49be9471827bf9cbf191,RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\BannerStore\ProviderId\OneDriveDocuments,ContentId,084f47df3aa742de8462d8398627ce5d,RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\BannerStore\ProviderId\OneDrivePictures,ContentId,d97a8d1f703f4208b41a68dd2d0c276e,RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\StorageProvider\OneDrive,StorageProviderKnownFolderSyncInfoSourceFactory,{07CA83F0-DF06-4E67-89DD-E80924A49512},RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,DisplayName,Microsoft OneDrive,RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,DisplayIcon,"C:\Users\Sami\AppData\Local\Microsoft\OneDrive\24.211.1020.0001\OneDriveSetup.exe,-101",RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,DisplayVersion,24.211.1020.0001,RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,HelpLink,https://go.microsoft.com/fwlink/?LinkID=215117,RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,Publisher,Microsoft Corporation,RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,UninstallString,"""C:\Users\Sami\AppData\Local\Microsoft\OneDrive\24.211.1020.0001\OneDriveSetup.exe""  /uninstall ",RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,UrlUpdateInfo,https://go.microsoft.com/fwlink/?LinkID=223554,RegSZ
\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,EstimatedSize,386189,RegDWord
\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,NoRepair,1,RegDWord
\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe,NoModify,1,RegDWord
