CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-01-31 10:51:55.2646483,C:\Windows\prefetch\FILEWATCHER.EXE-74AE7AE3.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\FILEWATCHER.EXE-74AE7AE3.pf,30969,A8D5D097E11ADFB291DE51D01AE79C21994EFE51,False,2025-01-24 08:56:33.5731249,2025-01-31 10:16:13.0805150,2025-01-31 10:27:36.5343110,00:00:00.0129980
2025-01-31 10:51:55.2716558,C:\Windows\prefetch\FONTDRVHOST.EXE-8152304A.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\FONTDRVHOST.EXE-8152304A.pf,2491,72C5C63FAE97A9052069CC1A6D673BC2C5F96390,False,2025-01-23 22:26:28.2984854,2025-01-30 23:59:57.9109283,2025-01-31 10:27:36.5353260,00:00:00.0059973
2025-01-31 10:51:55.2796553,C:\Windows\prefetch\FSNOTIFIER.EXE-1EC91E24.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\FSNOTIFIER.EXE-1EC91E24.pf,1749,9C9EA1FD9ADE0B438F617B112CC837B940233C8C,False,2025-01-29 21:47:28.8360049,2025-01-29 21:55:51.5836765,2025-01-31 10:27:36.5353260,00:00:00.0060002
2025-01-31 10:51:55.2871816,C:\Windows\prefetch\FSNOTIFIER.EXE-EDA785B0.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\FSNOTIFIER.EXE-EDA785B0.pf,1719,6386493460101AAD89A1C9D526E8361E0A12B6A3,False,2025-01-31 08:24:57.2105685,2025-01-31 10:33:51.4907644,2025-01-31 10:42:06.7599584,00:00:00.0055298
2025-01-31 10:51:55.3011811,C:\Windows\prefetch\FSQUIRT.EXE-A8FF1DEB.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\FSQUIRT.EXE-A8FF1DEB.pf,9028,45CAD85F5DE539864FB0AD328A047DB5DC50524B,False,2025-01-23 22:24:06.3614115,2025-01-23 22:24:06.3624130,2025-01-31 10:27:36.5363223,00:00:00.0120006
2025-01-31 10:51:55.3161793,C:\Windows\prefetch\GAMEBAR.EXE-A0162118.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GAMEBAR.EXE-A0162118.pf,59629,839FB615184B31F9DDC08019E3D0E764E0303D62,False,2025-01-24 08:55:24.8542069,2025-01-30 23:34:20.6311057,2025-01-31 10:27:36.5363223,00:00:00.0120006
2025-01-31 10:51:55.3321827,C:\Windows\prefetch\GAMEBARFTSERVER.EXE-6510582D.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GAMEBARFTSERVER.EXE-6510582D.pf,21022,7B5C46F2047FFCB4FA52D48559E7CEE3D0A9F396,False,2025-01-24 08:55:26.8234241,2025-01-30 23:34:20.9579547,2025-01-31 10:27:36.5383255,00:00:00.0129949
2025-01-31 10:51:55.3393729,C:\Windows\prefetch\GAMEBARPRESENCEWRITER.EXE-5ADEE7C2.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GAMEBARPRESENCEWRITER.EXE-5ADEE7C2.pf,4692,BBA085B7269AFAC45E8852CAB06344D1A9415032,False,2025-01-26 22:55:09.7598433,2025-01-30 23:34:20.1277106,2025-01-31 10:27:36.5393125,00:00:00.0050017
2025-01-31 10:51:55.3553759,C:\Windows\prefetch\GENSHINIMPACT.EXE-25EDF321.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GENSHINIMPACT.EXE-25EDF321.pf,81795,2143BB171F22C6113933C25F3A119EBE63B21444,False,2025-01-26 22:54:54.6492155,2025-01-30 23:33:43.8136711,2025-01-31 10:27:36.5403125,00:00:00.0140041
2025-01-31 10:51:55.3704115,C:\Windows\prefetch\GIT.EXE-49C87D8C.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\GIT.EXE-49C87D8C.pf,9140,11205F2ED096E747A8A470388798F71FF01C23DF,False,2025-01-29 21:47:29.7698859,2025-01-31 10:47:11.6240802,2025-01-31 10:47:11.6240802,00:00:00.0130389
